Book Title,Price,Link
A Light in the Attic,51.77,../../../index.html
Tipping the Velvet,53.74,../../../index.html
Soumission,50.1,index.html
Sharp Objects,47.82,../books/travel_2/index.html
Sapiens: A Brief History of Humankind,54.23,../books/mystery_3/index.html
The Requiem Red,22.65,../books/historical-fiction_4/index.html
The Dirty Little Secrets of Getting Your Dream Job,33.34,../books/sequential-art_5/index.html
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,../books/classics_6/index.html
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,../books/philosophy_7/index.html
The Black Maria,52.15,../books/romance_8/index.html
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,../books/womens-fiction_9/index.html
Shakespeare's Sonnets,20.66,../books/fiction_10/index.html
Set Me Free,17.46,../books/childrens_11/index.html
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,../books/religion_12/index.html
Rip it Up and Start Again,35.02,../books/nonfiction_13/index.html
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,../books/music_14/index.html
Olio,23.88,../books/default_15/index.html
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,../books/science-fiction_16/index.html
Libertarianism for Beginners,51.33,../books/sports-and-games_17/index.html
It's Only the Himalayas,45.17,../books/add-a-comment_18/index.html
It's Only the Himalayas,45.17,../books/fantasy_19/index.html
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,../books/new-adult_20/index.html
See America: A Celebration of Our National Parks & Treasured Sites,48.87,../books/young-adult_21/index.html
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,../books/science_22/index.html
Under the Tuscan Sun,37.33,../books/poetry_23/index.html
A Summer In Europe,44.34,../books/paranormal_24/index.html
The Great Railway Bazaar,30.54,../books/art_25/index.html
A Year in Provence (Provence #1),56.88,../books/psychology_26/index.html
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,../books/autobiography_27/index.html
Neither Here nor There: Travels in Europe,38.95,../books/parenting_28/index.html
"1,000 Places to See Before You Die",26.08,../books/adult-fiction_29/index.html
Sharp Objects,47.82,../books/humor_30/index.html
"In a Dark, Dark Wood",19.63,../books/horror_31/index.html
The Past Never Ends,56.5,../books/history_32/index.html
A Murder in Time,16.64,../books/food-and-drink_33/index.html
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,../books/christian-fiction_34/index.html
The Last Mile (Amos Decker #2),54.21,../books/business_35/index.html
That Darkness (Gardiner and Renner #1),13.92,../books/biography_36/index.html
Tastes Like Fear (DI Marnie Rome #3),10.69,../books/thriller_37/index.html
A Time of Torment (Charlie Parker #14),48.35,../books/contemporary_38/index.html
A Study in Scarlet (Sherlock Holmes #1),16.73,../books/spirituality_39/index.html
Poisonous (Max Revere Novels #3),26.8,../books/academic_40/index.html
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,../books/self-help_41/index.html
Most Wanted,35.28,../books/historical_42/index.html
Hide Away (Eve Duncan #20),11.84,../books/christian_43/index.html
Boar Island (Anna Pigeon #19),59.48,../books/suspense_44/index.html
The Widow,27.26,../books/short-stories_45/index.html
Playing with Fire,13.71,../books/novels_46/index.html
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,../books/health_47/index.html
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,../books/politics_48/index.html
Delivering the Truth (Quaker Midwife Mystery #1),20.89,../books/cultural_49/index.html
Tipping the Velvet,53.74,../books/erotica_50/index.html
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,../books/crime_51/index.html
A Flight of Arrows (The Pathfinders #2),55.53,../../a-light-in-the-attic_1000/index.html
The House by the Lake,36.95,../../a-light-in-the-attic_1000/index.html
Mrs. Houdini,30.25,../../tipping-the-velvet_999/index.html
The Marriage of Opposites,28.08,../../tipping-the-velvet_999/index.html
Glory over Everything: Beyond The Kitchen House,45.84,../../soumission_998/index.html
"Love, Lies and Spies",20.55,../../soumission_998/index.html
A Paris Apartment,39.01,../../sharp-objects_997/index.html
Lilac Girls,17.28,../../sharp-objects_997/index.html
The Constant Princess (The Tudor Court #1),16.62,../../sapiens-a-brief-history-of-humankind_996/index.html
The Invention of Wings,37.34,../../sapiens-a-brief-history-of-humankind_996/index.html
World Without End (The Pillars of the Earth #2),32.97,../../the-requiem-red_995/index.html
The Passion of Dolssa,28.32,../../the-requiem-red_995/index.html
Girl With a Pearl Earring,26.77,../../the-dirty-little-secrets-of-getting-your-dream-job_994/index.html
Voyager (Outlander #3),21.07,../../the-dirty-little-secrets-of-getting-your-dream-job_994/index.html
The Red Tent,35.66,../../the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html
The Last Painting of Sara de Vos,55.55,../../the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html
The Guernsey Literary and Potato Peel Pie Society,49.53,../../the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html
Girl in the Blue Coat,46.83,../../the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,../../the-black-maria_991/index.html
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,../../the-black-maria_991/index.html
This One Summer,19.49,../../starving-hearts-triangular-trade-trilogy-1_990/index.html
The Nameless City (The Nameless City #1),38.16,../../starving-hearts-triangular-trade-trilogy-1_990/index.html
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,../../shakespeares-sonnets_989/index.html
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,../../shakespeares-sonnets_989/index.html
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,../../set-me-free_988/index.html
"Pop Gun War, Volume 1: Gift",18.97,../../set-me-free_988/index.html
Patience,10.16,../../scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,../../scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,../../rip-it-up-and-start-again_986/index.html
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,../../rip-it-up-and-start-again_986/index.html
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,../../our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,../../our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,../../olio_984/index.html
I am a Hero Omnibus Volume 1,54.63,../../olio_984/index.html
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,../../mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
Danganronpa Volume 1,51.99,../../mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,../../libertarianism-for-beginners_982/index.html
Camp Midnight,17.08,../../libertarianism-for-beginners_982/index.html
The Secret Garden,15.08,../../its-only-the-himalayas_981/index.html
The Metamorphosis,28.58,../../its-only-the-himalayas_981/index.html
The Pilgrim's Progress,50.26,page-2.html
The Hound of the Baskervilles (Sherlock Holmes #5),14.82,../../../../index.html
Little Women (Little Women #1),28.07,../../../../index.html
Gone with the Wind,32.49,../../books_1/index.html
Candide,58.63,../../books_1/index.html
Animal Farm,57.22,index.html
Wuthering Heights,17.73,../mystery_3/index.html
The Picture of Dorian Gray,29.7,../historical-fiction_4/index.html
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),26.78,../sequential-art_5/index.html
Beowulf,38.35,../classics_6/index.html
And Then There Were None,35.01,../philosophy_7/index.html
The Story of Hong Gildong,43.19,../romance_8/index.html
The Little Prince,45.42,../womens-fiction_9/index.html
Sense and Sensibility,37.46,../fiction_10/index.html
Of Mice and Men,47.11,../childrens_11/index.html
Emma,32.93,../religion_12/index.html
Alice in Wonderland (Alice's Adventures in Wonderland #1),55.53,../nonfiction_13/index.html
Sophie's World,15.94,../music_14/index.html
The Death of Humanity: and the Case for Life,58.11,../default_15/index.html
The Stranger,17.44,../science-fiction_16/index.html
Proofs of God: Classical Arguments from Tertullian to Barth,54.21,../sports-and-games_17/index.html
Kierkegaard: A Christian Missionary to Christians,47.13,../add-a-comment_18/index.html
"At The Existentialist CafÃ©: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",29.93,../fantasy_19/index.html
Critique of Pure Reason,20.75,../new-adult_20/index.html
"Run, Spot, Run: The Ethics of Keeping Pets",20.02,../young-adult_21/index.html
The Nicomachean Ethics,36.34,../science_22/index.html
Meditations,25.89,../poetry_23/index.html
Beyond Good and Evil,43.38,../paranormal_24/index.html
Chase Me (Paris Nights #2),25.27,../art_25/index.html
Black Dust,34.53,../psychology_26/index.html
Her Backup Boyfriend (The Sorensen Family #1),33.97,../autobiography_27/index.html
First and First (Five Boroughs #3),15.97,../parenting_28/index.html
Fifty Shades Darker (Fifty Shades #2),21.96,../adult-fiction_29/index.html
The Wedding Dress,24.12,../humor_30/index.html
Suddenly in Love (Lake Haven #1),55.99,../horror_31/index.html
Something More Than This,16.24,../history_32/index.html
Doing It Over (Most Likely To #1),35.61,../food-and-drink_33/index.html
The Wedding Pact (The O'Malleys #2),32.61,../christian-fiction_34/index.html
Hold Your Breath (Search and Rescue #1),28.82,../business_35/index.html
Dirty (Dive Bar #1),40.83,../biography_36/index.html
Take Me Home Tonight (Rock Star Romance #3),53.98,../thriller_37/index.html
Off the Hook (Fishing for Trouble #1),47.67,../contemporary_38/index.html
A Gentleman's Position (Society of Gentlemen #3),14.75,../spirituality_39/index.html
"Sit, Stay, Love",20.9,../academic_40/index.html
A Girl's Guide to Moving On (New Beginnings #2),31.3,../self-help_41/index.html
The Perfect Play (Play by Play #1),59.99,../historical_42/index.html
Dark Lover (Black Dagger Brotherhood #1),12.87,../christian_43/index.html
Changing the Game (Play by Play #2),13.38,../suspense_44/index.html
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,../short-stories_45/index.html
Will You Won't You Want Me?,13.86,../novels_46/index.html
Keep Me Posted,20.46,../health_47/index.html
Grey (Fifty Shades #4),48.49,../politics_48/index.html
Meternity,43.58,../cultural_49/index.html
Some Women,13.73,../erotica_50/index.html
Shopaholic Ties the Knot (Shopaholic #3),48.39,../crime_51/index.html
Can You Keep a Secret?,21.94,../../../its-only-the-himalayas_981/index.html
Twenties Girl,42.8,../../../its-only-the-himalayas_981/index.html
The Undomestic Goddess,45.75,../../../full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html
The Nanny Diaries (Nanny #1),52.53,../../../full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html
The Devil Wears Prada (The Devil Wears Prada #1),44.29,../../../see-america-a-celebration-of-our-national-parks-treasured-sites_732/index.html
Something Borrowed (Darcy & Rachel #1),48.96,../../../see-america-a-celebration-of-our-national-parks-treasured-sites_732/index.html
Something Blue (Darcy & Rachel #2),54.62,../../../vagabonding-an-uncommon-guide-to-the-art-of-long-term-world-travel_552/index.html
I've Got Your Number,19.69,../../../vagabonding-an-uncommon-guide-to-the-art-of-long-term-world-travel_552/index.html
The Edge of Reason (Bridget Jones #2),19.18,../../../under-the-tuscan-sun_504/index.html
Bridget Jones's Diary (Bridget Jones #1),29.82,../../../under-the-tuscan-sun_504/index.html
Soumission,50.1,../../../a-summer-in-europe_458/index.html
Private Paris (Private #10),47.61,../../../a-summer-in-europe_458/index.html
"We Love You, Charlie Freeman",50.27,../../../the-great-railway-bazaar_446/index.html
Thirst,17.27,../../../the-great-railway-bazaar_446/index.html
The Murder That Never Was (Forensic Instincts #5),54.11,../../../a-year-in-provence-provence-1_421/index.html
Tuesday Nights in 1980,21.04,../../../a-year-in-provence-provence-1_421/index.html
The Vacationers,42.15,../../../the-road-to-little-dribbling-adventures-of-an-american-in-britain-notes-from-a-small-island-2_277/index.html
The Regional Office Is Under Attack!,51.36,../../../the-road-to-little-dribbling-adventures-of-an-american-in-britain-notes-from-a-small-island-2_277/index.html
Finders Keepers (Bill Hodges Trilogy #2),53.53,../../../neither-here-nor-there-travels-in-europe_198/index.html
The Time Keeper,27.88,../../../neither-here-nor-there-travels-in-europe_198/index.html
The Testament of Mary,52.67,../../../1000-places-to-see-before-you-die_1/index.html
The First Hostage (J.B. Collins #2),25.85,../../../1000-places-to-see-before-you-die_1/index.html
Take Me with You,45.21,../../../../index.html
Still Life with Bread Crumbs,26.41,../../../../index.html
Shtum,55.84,../../books_1/index.html
My Name Is Lucy Barton,41.56,../../books_1/index.html
My Mrs. Brown,24.48,../travel_2/index.html
Mr. Mercedes (Bill Hodges Trilogy #1),28.9,index.html
I Am Pilgrim (Pilgrim #1),10.6,../historical-fiction_4/index.html
Eligible (The Austen Project #4),27.09,../sequential-art_5/index.html
Birdsong: A Story in Pictures,54.64,../classics_6/index.html
The Bear and the Piano,36.89,../philosophy_7/index.html
The Secret of Dreadwillow Carse,56.13,../romance_8/index.html
The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,58.08,../womens-fiction_9/index.html
Little Red,13.47,../fiction_10/index.html
Walt Disney's Alice in Wonderland,12.96,../childrens_11/index.html
Twenty Yawns,22.08,../religion_12/index.html
Rain Fish,23.57,../nonfiction_13/index.html
Once Was a Time,18.28,../music_14/index.html
Luis Paints the World,53.95,../default_15/index.html
Nap-a-Roo,25.08,../science-fiction_16/index.html
The Whale,35.96,../sports-and-games_17/index.html
"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly",52.87,../add-a-comment_18/index.html
Raymie Nightingale,34.41,../fantasy_19/index.html
Playing from the Heart,32.38,../new-adult_20/index.html
Maybe Something Beautiful: How Art Transformed a Neighborhood,22.54,../young-adult_21/index.html
The Wild Robot,56.07,../science_22/index.html
The Thing About Jellyfish,48.77,../poetry_23/index.html
The Lonely Ones,43.59,../paranormal_24/index.html
The Day the Crayons Came Home (Crayons),26.33,../art_25/index.html
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,../psychology_26/index.html
You Are What You Love: The Spiritual Power of Habit,21.87,../autobiography_27/index.html
God: The Most Unpleasant Character in All Fiction,30.03,../parenting_28/index.html
The Book of Mormon,24.57,../adult-fiction_29/index.html
"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",27.62,../humor_30/index.html
The Bhagavad Gita,57.49,../horror_31/index.html
Choosing Our Religion: The Spiritual Lives of America's Nones,28.42,../history_32/index.html
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,../food-and-drink_33/index.html
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,../christian-fiction_34/index.html
Reasons to Stay Alive,26.41,../business_35/index.html
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,../biography_36/index.html
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,../thriller_37/index.html
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,../contemporary_38/index.html
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,../spirituality_39/index.html
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,../academic_40/index.html
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,../self-help_41/index.html
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,../historical_42/index.html
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,../christian_43/index.html
In the Country We Love: My Family Divided,22.0,../suspense_44/index.html
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,../short-stories_45/index.html
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,../novels_46/index.html
Algorithms to Live By: The Computer Science of Human Decisions,30.81,../health_47/index.html
The Power of Now: A Guide to Spiritual Enlightenment,43.54,../politics_48/index.html
The Omnivore's Dilemma: A Natural History of Four Meals,38.21,../cultural_49/index.html
The Genius of Birds,17.24,../erotica_50/index.html
The Artist's Way: A Spiritual Path to Higher Creativity,38.49,../crime_51/index.html
So You've Been Publicly Shamed,12.23,../../../sharp-objects_997/index.html
Rip it Up and Start Again,35.02,../../../sharp-objects_997/index.html
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,../../../in-a-dark-dark-wood_963/index.html
How Music Works,37.32,../../../in-a-dark-dark-wood_963/index.html
Love Is a Mix Tape (Music #1),18.03,../../../the-past-never-ends_942/index.html
Please Kill Me: The Uncensored Oral History of Punk,31.19,../../../the-past-never-ends_942/index.html
Kill 'Em and Leave: Searching for James Brown and the American Soul,45.05,../../../a-murder-in-time_877/index.html
"Chronicles, Vol. 1",52.6,../../../a-murder-in-time_877/index.html
This Is Your Brain on Music: The Science of a Human Obsession,38.4,../../../the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html
"Orchestra of Exiles: The Story of Bronislaw Huberman, the Israel Philharmonic, and the One Thousand Jews He Saved from Nazi Horrors",12.36,../../../the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html
No One Here Gets Out Alive,20.02,../../../the-last-mile-amos-decker-2_754/index.html
Life,31.58,../../../the-last-mile-amos-decker-2_754/index.html
Old Records Never Die: One Man's Quest for His Vinyl and His Past,55.66,../../../that-darkness-gardiner-and-renner-1_743/index.html
Forever Rockers (The Rocker #12),28.8,../../../that-darkness-gardiner-and-renner-1_743/index.html
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,../../../tastes-like-fear-di-marnie-rome-3_742/index.html
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,../../../tastes-like-fear-di-marnie-rome-3_742/index.html
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,../../../a-time-of-torment-charlie-parker-14_657/index.html
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,../../../a-time-of-torment-charlie-parker-14_657/index.html
Aladdin and His Wonderful Lamp,53.13,../../../a-study-in-scarlet-sherlock-holmes-1_656/index.html
Penny Maybe,33.29,../../../a-study-in-scarlet-sherlock-holmes-1_656/index.html
Maude (1883-1993):She Grew Up with the country,18.02,../../../poisonous-max-revere-novels-3_627/index.html
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,../../../poisonous-max-revere-novels-3_627/index.html
Soul Reader,39.58,../../../murder-at-the-42nd-street-library-raymond-ambler-1_624/index.html
Bossypants,49.46,../../../murder-at-the-42nd-street-library-raymond-ambler-1_624/index.html
A World of Flavor: Your Gluten Free Passport,42.95,../../../most-wanted_623/index.html
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,../../../most-wanted_623/index.html
Tracing Numbers on a Train,41.6,../../../hide-away-eve-duncan-20_620/index.html
Thirteen Reasons Why,52.72,../../../hide-away-eve-duncan-20_620/index.html
The Secret (The Secret #1),27.37,../../../boar-island-anna-pigeon-19_613/index.html
The Psychopath Test: A Journey Through the Madness Industry,36.0,../../../boar-island-anna-pigeon-19_613/index.html
The Kite Runner,41.82,../../../the-widow_609/index.html
The Girl on the Train,55.02,../../../the-widow_609/index.html
The Emerald Mystery,23.15,../../../playing-with-fire_602/index.html
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,32.0,../../../playing-with-fire_602/index.html
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,../../../what-happened-on-beale-street-secrets-of-the-south-mysteries-2_506/index.html
Join,35.67,../../../what-happened-on-beale-street-secrets-of-the-south-mysteries-2_506/index.html
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,../../../the-bachelor-girls-guide-to-murder-herringford-and-watts-mysteries-1_491/index.html
The Project,10.65,../../../the-bachelor-girls-guide-to-murder-herringford-and-watts-mysteries-1_491/index.html
Soft Apocalypse,26.12,../../../delivering-the-truth-quaker-midwife-mystery-1_464/index.html
Sleeping Giants (Themis Files #1),48.74,../../../delivering-the-truth-quaker-midwife-mystery-1_464/index.html
Arena,21.36,page-2.html
Foundation (Foundation (Publication Order) #1),32.42,../../../../index.html
The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),10.92,../../../../index.html
Ready Player One,19.07,../../books_1/index.html
"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",33.26,../../books_1/index.html
Dune (Dune #1),54.86,../travel_2/index.html
Do Androids Dream of Electric Sheep? (Blade Runner #1),51.48,../mystery_3/index.html
Three Wishes (River of Time: California #1),44.18,index.html
The Last Girl (The Dominion Trilogy #1),36.26,../sequential-art_5/index.html
Having the Barbarian's Baby (Ice Planet Barbarians #7.5),34.96,../classics_6/index.html
The Book of Basketball: The NBA According to The Sports Guy,44.84,../philosophy_7/index.html
"Friday Night Lights: A Town, a Team, and a Dream",51.22,../romance_8/index.html
Sugar Rush (Offensive Line #2),24.42,../womens-fiction_9/index.html
